"first_name","personLabel","countryLabel","Gender","Perc","NTimes","country_code"
"danila","danila klimovich","Belarus","Man",100,1,"BY"
"dante","dante stiggers","Belarus","Man",100,1,"BY"
"daria","daria pismenkova","Belarus","Woman",100,1,"BY"
"darja","darya byalkyevich","Belarus","Woman",100,1,"BY"
"darya","darya ionava","Belarus","Woman",100,33,"BY"
"david","david simanovich","Belarus","Man",100,3,"BY"
"denis","denis levitskiy","Belarus","Man",100,19,"BY"
"devon","devon saddler","Belarus","Man",100,1,"BY"
"diana","diana khvesko","Belarus","Woman",100,4,"BY"
"dimitri","dimitri afanasenko","Belarus","Man",100,4,"BY"
"dimitrij","dimitrij gutarev","Belarus","Man",100,1,"BY"
"dina","dina grinshteyn","Belarus","Woman",100,1,"BY"
"dmitrij","dzmitryj kłoczek","Belarus","Man",100,4,"BY"
"dmitry","dmitry verkhovtsov","Belarus","Man",100,20,"BY"
"dzina","dzina sazanavets","Belarus","Woman",100,1,"BY"
"dzmitry","dzmitry balashow","Belarus","Man",100,138,"BY"
"dzyanis","dzyanis obrazaw","Belarus","Man",100,35,"BY"
"eddie","eddie semenovna kagan","Belarus","Woman",100,1,"BY"
"eden","eden kartsev","Belarus","Man",100,1,"BY"
"edhar","edhar alyakhnovich","Belarus","Man",100,1,"BY"
"edouard","edouard astafiev","Belarus","Man",100,1,"BY"
"eduard","eduard zankovets","Belarus","Man",100,21,"BY"
"edward","eduard mikhan","Belarus","Man",100,4,"BY"
"ekaterina","katya ocean","Belarus","Woman",100,6,"BY"
"eleanor","eleanora valitskaya","Belarus","Woman",100,1,"BY"
"elena","elena akulich","Belarus","Woman",100,22,"BY"
"eliezer","eliezer gordon","Belarus","Man",100,1,"BY"
"elina","ellina zvereva","Belarus","Woman",100,1,"BY"
"elizabeth","yelizaveta yermolayeva","Belarus","Woman",100,1,"BY"
"ella","ella german","Belarus","Woman",100,1,"BY"
"elvira","elvira herasimovich","Belarus","Woman",100,3,"BY"
"ema","ema kamarova","Belarus","Woman",100,1,"BY"
"emanuel","imanuil ioffe","Belarus","Man",100,1,"BY"
"emilia","emilia tsylko","Belarus","Woman",100,4,"BY"
"emma","ema kamarova","Belarus","Woman",100,1,"BY"
"erik","erik yakhimovich","Belarus","Man",100,1,"BY"
"ernst","ernst sabila","Belarus","Man",100,3,"BY"
"esther","esther gurevich","Belarus","Woman",100,2,"BY"
"eta","eta tyrmand","Belarus","Woman",100,1,"BY"
"eugene","yawhien bielayenka","Belarus","Man",100,2,"BY"
"eugenia","yevgeniya pasternak","Belarus","Woman",100,2,"BY"
"eugeniusz","eugeniusz zak","Belarus","Man",100,1,"BY"
"eva","yeva belavusava","Belarus","Woman",100,2,"BY"
"evgenia","yawheniya kechyna","Belarus","Woman",100,2,"BY"
"evgenij","yauheni yakauchuk","Belarus","Man",100,1,"BY"
"evgeny","jaŭhien apanasovič","Belarus","Man",100,31,"BY"
"evgueni","evgueni chtchetinine","Belarus","Man",100,1,"BY"
"faina","faina mihajlovna kirillova","Belarus","Woman",100,1,"BY"
"feliks","feliks batoryn","Belarus","Man",100,2,"BY"
"feliksas","feliksas ivanauskas","Belarus","Man",100,1,"BY"
"filaret","philaret","Belarus","Man",100,1,"BY"
"filip","filip bohusz","Belarus","Man",100,3,"BY"
"filipp","filip ivanow","Belarus","Man",100,1,"BY"
"fiodar","fyodar ruskevich","Belarus","Man",100,9,"BY"
"florian","florian bochwic","Belarus","Man",100,1,"BY"
"franc","frants kostyukevich","Belarus","Man",100,1,"BY"
"franciszek","franciszek kareu","Belarus","Man",100,1,"BY"
"frantsishak","franak viacorka","Belarus","Man",100,1,"BY"
"franz","franz perkhorovich","Belarus","Man",100,1,"BY"
"fyodor","fyodor dronov","Belarus","Man",100,2,"BY"
"galina","halina yashava","Belarus","Woman",100,37,"BY"
"garri","harry austryn wolfson","Belarus","Man",100,1,"BY"
"gavriil","hawryla vashchanka","Belarus","Man",100,1,"BY"
"gennady","gennady provatorov","Belarus","Man",100,22,"BY"
"georgiy","george alexandrovich koldun","Belarus","Man",100,18,"BY"
"georgy","georgy lopato","Belarus","Man",100,1,"BY"
"german","herman kantoyeu","Belarus","Man",100,2,"BY"
"giulietta","dzhulyetta gering","Belarus","Woman",100,1,"BY"
"glafyra","glafira martinovich","Belarus","Woman",100,1,"BY"
"glaphyra","glafira martinovich","Belarus","Woman",100,1,"BY"
"gleb","hlieb jakuševič","Belarus","Man",100,1,"BY"
"gregory","gregory nesterov","Belarus","Man",100,1,"BY"
"grigori","grigori khraputsky","Belarus","Man",100,1,"BY"
"halina","halina vasilyenka","Belarus","Woman",100,9,"BY"
"hanna","hanna rabtsava","Belarus","Woman",100,73,"BY"
"hannah","hanna machakhina","Belarus","Woman",100,1,"BY"
"hardzei","hardzei tsishchanka","Belarus","Man",100,1,"BY"
"harry","harry austryn wolfson","Belarus","Man",100,1,"BY"
"heinrich","heinrich leibmann","Belarus","Man",100,1,"BY"
"helena","helena frolova","Belarus","Woman",100,6,"BY"
"hennadiy","hennadiy moroz","Belarus","Man",100,1,"BY"
"henrietta","genrieta lagvilava","Belarus","Woman",100,1,"BY"
"henryk","henryk skirmunt","Belarus","Man",100,1,"BY"
"heorhiy","heorhiy davidzyuk","Belarus","Man",100,19,"BY"
"hienadz","gennady tumilovich","Belarus","Man",100,33,"BY"
"hillel","hillel perlman","Belarus","Man",100,1,"BY"
"hlieb","gleb rassadkin","Belarus","Man",100,4,"BY"
"i.","i. i. kruk","Belarus","Man",100,1,"BY"
"ibad","ibad akhmedov","Belarus","Man",100,1,"BY"
"ibrahim","ibrahim kanapacki","Belarus","Man",100,2,"BY"
"ignat","ignat golovatsiuk","Belarus","Man",100,1,"BY"
"ignati","ihnat antonaw","Belarus","Man",100,1,"BY"
"igor","igor valetov","Belarus","Man",100,35,"BY"
"ihar","igor chochrjakow","Belarus","Man",100,110,"BY"
"ihnat","ignat malei","Belarus","Man",100,3,"BY"
"ilja","iĺja čarniak","Belarus","Man",100,5,"BY"
"illarion","ilaryon ihnatsyenka","Belarus","Man",100,2,"BY"
"illia","illya korzun","Belarus","Man",100,1,"BY"
"illya","illa szpuntou","Belarus","Man",100,13,"BY"
"ilona","ilona pihal","Belarus","Woman",100,4,"BY"
"ilya","ilya kurhan","Belarus","Man",100,6,"BY"
"ima","ima bohush","Belarus","Woman",100,1,"BY"
"ina","ina lukonina","Belarus","Woman",100,5,"BY"
"inessa","inessa lisovskaya","Belarus","Woman",100,2,"BY"
"inna","inna kastsiuchenka","Belarus","Woman",100,4,"BY"
"ioseb","ioseb chugoshvili","Belarus","Man",100,1,"BY"
"iosif","iosif naumovich veinerovich","Belarus","Man",100,6,"BY"
"iraida","iraida tsaruk","Belarus","Woman",100,1,"BY"
"irena","iryna lawrowskaya","Belarus","Woman",100,1,"BY"
"irina","iryna pazdniakova","Belarus","Woman",100,23,"BY"
"irma","irma mase","Belarus","Woman",100,2,"BY"
"iryna","iryna maiseyenka","Belarus","Woman",100,37,"BY"
"isaak","isaak davidovich","Belarus","Man",100,2,"BY"
"isabella","izabela martsinovich","Belarus","Woman",100,1,"BY"
"israel","israel wohlman","Belarus","Man",100,1,"BY"
"iva","iva sativa","Belarus","Woman",100,1,"BY"
"ivan","ivan gayshun","Belarus","Man",100,81,"BY"
"iwan","ivan čarota","Belarus","Man",100,5,"BY"
"iza","iza semushina","Belarus","Woman",100,1,"BY"
"izabela","izabela martsinovich","Belarus","Woman",100,1,"BY"
"izydor","alfred isidore römer","Belarus","Man",100,2,"BY"
"jacob","jacob rutstein","Belarus","Man",100,1,"BY"
"jacques","jacques stany","Belarus","Man",100,1,"BY"
"jadwiga","yadviha buday","Belarus","Woman",100,3,"BY"
"jan","jan skryhan","Belarus","Man",100,6,"BY"
"jana","yana maksimava","Belarus","Woman",100,5,"BY"
"janina","janina likhorad","Belarus","Woman",100,3,"BY"
"janine","janina karolchyk-pravalinskaya","Belarus","Woman",100,2,"BY"
"jaras","jaraš mališeŭski","Belarus","Man",100,1,"BY"
"jaroslav","jaraslaŭ araškievič","Belarus","Man",100,11,"BY"
"jauhien","yauhen shatokhin","Belarus","Man",100,83,"BY"
"jauhienij","yauhien abalenski","Belarus","Man",100,1,"BY"
"jauhienija","evgenia pavlina","Belarus","Woman",100,2,"BY"
"javid","javid hamzatau","Belarus","Man",100,1,"BY"
"jazep","iosif jucho","Belarus","Man",100,3,"BY"
"jekaterina","yekaterina khramenkova","Belarus","Woman",100,1,"BY"
"jerzy","jerzy steckiewicz","Belarus","Man",100,1,"BY"
"jevgenija","yauheniya varabyova","Belarus","Woman",100,1,"BY"
"jewgienij","yevgeny zhuk","Belarus","Man",100,2,"BY"
"josef","josef garbáty","Belarus","Man",100,1,"BY"
"josif","iosif stanieuski","Belarus","Man",100,1,"BY"
"jozef","jozef aniszkiewicz","Belarus","Man",100,1,"BY"
"jozefa","juzefa matskevich","Belarus","Woman",100,1,"BY"
"judith","yudzif sehal","Belarus","Woman",100,2,"BY"
"julia","julia ivonchyk","Belarus","Woman",100,6,"BY"
"juliana","yulyana yushchanka","Belarus","Woman",100,1,"BY"
"julija","julija vasilevič","Belarus","Woman",100,2,"BY"
"jurij","jurij tihonov","Belarus","Man",100,1,"BY"
"jury","yury zakharanka","Belarus","Man",100,1,"BY"
"kamandar","kamandar madzhidov","Belarus","Man",100,1,"BY"
"kamila","kamila bobr","Belarus","Woman",100,1,"BY"
"kanstancin","konstantin selikhanov","Belarus","Man",100,28,"BY"
"karina","karina tovarevich","Belarus","Woman",100,8,"BY"
"karyna","karyna yarmolenka","Belarus","Woman",100,1,"BY"
"katherine","kaciaryna vadanosava","Belarus","Woman",100,3,"BY"
"katsiaryna","katsiaryna belanovich","Belarus","Woman",100,37,"BY"
"kazimierz","kazimir kotlinski","Belarus","Man",100,4,"BY"
"kirill","kirill gusev","Belarus","Man",100,17,"BY"
"kiryl","kirill dubovskiĭ","Belarus","Man",100,17,"BY"
"klara","klara gerasimovich","Belarus","Woman",100,1,"BY"
"konstantin","konstantin ivanovitsj maksimtsev","Belarus","Man",100,31,"BY"
"konstanty","konstanty maciukiewicz","Belarus","Man",100,1,"BY"
"kristian","kristian khenkel","Belarus","Man",100,1,"BY"
"kristina","kristina kiyanka","Belarus","Woman",100,12,"BY"
"krystsina","krystsina muliarchyk","Belarus","Woman",100,4,"BY"
"ksenia","kseniya chukha","Belarus","Woman",100,1,"BY"
"kseniya","ksienija šuraŭka","Belarus","Woman",100,11,"BY"
"kylie","kylie dickson","Belarus","Woman",100,1,"BY"
"lada","lada v. oleynik","Belarus","Woman",100,1,"BY"
"larisa","larissa loukianenko","Belarus","Woman",100,14,"BY"
"larysa","larysa aleksyutovich","Belarus","Woman",100,6,"BY"
"leanid","leonid barkovskii","Belarus","Man",100,47,"BY"
"leon","leon gurvitch","Belarus","Man",100,1,"BY"
"leonid","leonid vershinin","Belarus","Man",100,10,"BY"
"lera","lera boroditsky","Belarus","Woman",100,1,"BY"
"lesia","lesia valadzenkava","Belarus","Woman",100,1,"BY"
"lev","leu mazurkevich","Belarus","Man",100,4,"BY"
"lew","lev lvovskiy","Belarus","Man",100,3,"BY"
"leyla","leila ismailava","Belarus","Woman",100,1,"BY"
"liavon","liavon jurevič","Belarus","Man",100,6,"BY"
"liavoncij","lyavontsi zdanevich","Belarus","Man",100,1,"BY"
"lidia","lidia pauk","Belarus","Woman",100,12,"BY"
"lidiya","lidiya yurkova","Belarus","Woman",100,2,"BY"
"lidziya","lidiya zablotskaya","Belarus","Woman",100,7,"BY"
"lieanid","lieanid ščamialioŭ","Belarus","Man",100,2,"BY"
"liliia","lilia vaygina-efremova","Belarus","Woman",100,1,"BY"
"lindsey","lindsey harding","Belarus","Woman",100,1,"BY"
"liudas","liudas rumbutis","Belarus","Man",100,1,"BY"
"liudmila","liudmila rudzko","Belarus","Woman",100,2,"BY"
"liudmyla","lyudmyla kovalenko","Belarus","Woman",100,1,"BY"
"liyana","liana mirashnichenka","Belarus","Woman",100,1,"BY"
"lizaveta","lizaveta kuzmenka","Belarus","Woman",100,1,"BY"
"ljudmila","lyudmila borsuk","Belarus","Woman",100,1,"BY"
"ludmila","ludmila christeseva","Belarus","Woman",100,7,"BY"
"lukasz","łukasz dziekuć-malej","Belarus","Man",100,1,"BY"
"lydia","lydia mikhailovna kukrash","Belarus","Woman",100,2,"BY"
"lyubov","lyubow tarasyuk","Belarus","Woman",100,7,"BY"
"lyubow","lyubov rumyantseva","Belarus","Woman",100,2,"BY"
"lyudmila","lyudmila shakhotko","Belarus","Woman",100,42,"BY"
"maalik","maalik wayns","Belarus","Man",100,1,"BY"
"magomed","magomed aripgadjiev","Belarus","Man",100,1,"BY"
"mahamed","magomed nurutdinov","Belarus","Man",100,1,"BY"
"maksim","maksim miatlou","Belarus","Man",100,55,"BY"
"maksym","maksim romaschenko","Belarus","Man",100,1,"BY"
"mamitas","berta sosina-izraitsel","Belarus","Woman",100,1,"BY"
"marat","marat batrinnik","Belarus","Man",100,4,"BY"
"margarita","margarita levchuk","Belarus","Woman",100,7,"BY"
"marharyta","ryta turava","Belarus","Woman",100,5,"BY"
"maria","maria nikitochkina","Belarus","Woman",100,11,"BY"
"mariam","mariam davydovna oleynik","Belarus","Woman",100,1,"BY"
"marianna","marianna schetkina","Belarus","Woman",100,1,"BY"
"mariia","maria guleghina","Belarus","Woman",100,1,"BY"
"marina","marina pekhota","Belarus","Woman",100,16,"BY"
"mariya","mariya yeryomenko","Belarus","Woman",100,15,"BY"
"marjan","marjan duksa","Belarus","Man",100,1,"BY"
"mark","mark petrokovets","Belarus","Man",100,5,"BY"
"marko","marko borysovych bruckman","Belarus","Man",100,1,"BY"
"martin","martin artyukh","Belarus","Man",100,1,"BY"
"maryia","maryia filonchyk","Belarus","Woman",100,23,"BY"
"maryna","marina lobatch","Belarus","Woman",100,27,"BY"
"masha","masha zinevitch","Belarus","Woman",100,1,"BY"
"mateusz","mateusz lipski","Belarus","Man",100,1,"BY"
"matvey","matvei vainrub","Belarus","Man",100,2,"BY"
"max","max bogretsov","Belarus","Man",100,4,"BY"
"maxim","maxim shmakov","Belarus","Man",100,4,"BY"
"maya","maya yanitskaya","Belarus","Woman",100,2,"BY"
"melitsina","melitina staniouta","Belarus","Woman",100,1,"BY"
"michael","mikhaʾel laiṭman","Belarus","Man",100,2,"BY"
"michail","mikhail audzeyeu","Belarus","Man",100,1,"BY"
"michal","michał wołłowicz","Belarus","Man",100,1,"BY"
"michalina","michalina manulik","Belarus","Woman",100,1,"BY"
"michas","michaś mušynski","Belarus","Man",100,1,"BY"
"miecyslau","miečyslaŭ časnoŭski","Belarus","Man",100,2,"BY"
"mieczyslaw","mechislav goy","Belarus","Man",100,2,"BY"
"mikalai","mikalay astapkovich","Belarus","Man",100,109,"BY"
"mikhail","mikhail lazaruk","Belarus","Man",100,104,"BY"
"mikita","nikita naumov","Belarus","Man",100,14,"BY"
"mikola","mikalay volkau","Belarus","Man",100,4,"BY"
"mikolaj","mikołaj czerniak","Belarus","Man",100,2,"BY"
"milena","milena kharaneka","Belarus","Woman",100,1,"BY"
"miraslau","mirasłaŭ łazoŭski","Belarus","Man",100,1,"BY"
"moisei","maysey beraw","Belarus","Man",100,1,"BY"
"moses","moses reines","Belarus","Man",100,1,"BY"
"moshe","moshe rachmilewitz","Belarus","Man",100,1,"BY"
"murad","murad gaidarov","Belarus","Man",100,1,"BY"
"myron","dmitry miron","Belarus","Man",100,1,"BY"
"myroslav","miroslav romaschenko","Belarus","Man",100,1,"BY"
"nadezhda","nadya khamitskaya","Belarus","Woman",100,18,"BY"
"nadzieja","nadejda ostrovskaya","Belarus","Woman",100,20,"BY"
"naftali","naftoli trop","Belarus","Man",100,1,"BY"
"nahum","nahum gunin","Belarus","Man",100,1,"BY"
"natalia","natalia sukhodolskaya","Belarus","Woman",100,24,"BY"
"nataliia","natalya galushko","Belarus","Woman",100,3,"BY"
"natalja","natalya zyatikova","Belarus","Woman",100,2,"BY"
"natallia","natallia tryfanava","Belarus","Woman",100,48,"BY"
"natallya","natallya babina","Belarus","Woman",100,1,"BY"
"natalya","natalya yermolovich","Belarus","Woman",100,7,"BY"
"nathalie","nathalie barkun","Belarus","Woman",100,1,"BY"
"navum","navum galpiarovich","Belarus","Man",100,1,"BY"
"nelly","neli bahuslawskaya","Belarus","Woman",100,1,"BY"
"nicholas","mikalay kazaraviets","Belarus","Man",100,1,"BY"
"nick","nick sredin","Belarus","Man",100,2,"BY"
"nicypar","ničypar paškievič","Belarus","Man",100,1,"BY"
"nikita","nikita zharoven","Belarus","Man",100,5,"BY"
"nikolai","mikalay barsukow","Belarus","Man",100,20,"BY"
"nikolaj","nikolay alekhin","Belarus","Man",100,1,"BY"
"nikolay","nikolay grebnyev","Belarus","Man",100,2,"BY"
"nina","nina bahinskaja","Belarus","Woman",100,18,"BY"
"ninel","ninel zhukovska","Belarus","Woman",100,1,"BY"
"oksana","oxana omelchuk","Belarus","Woman",100,11,"BY"
"oleg","oleg paulya","Belarus","Man",100,74,"BY"
"olena","yelena belevskaya","Belarus","Woman",100,2,"BY"
"olesya","olesya bakunova","Belarus","Woman",100,1,"BY"
"olga","olga nazarova","Belarus","Woman",100,36,"BY"
"olja","olja kostiuczyk","Belarus","Woman",100,1,"BY"
"palina","palina pivavarava","Belarus","Woman",100,4,"BY"
"paval","paval haradnicki","Belarus","Man",100,6,"BY"
"pavel","pavel nyakhaychyk","Belarus","Man",100,105,"BY"
"pawel","pavel kutsevich","Belarus","Man",100,2,"BY"
"pawiel","pavel padaliak","Belarus","Man",100,2,"BY"
"peter","peter korzubov","Belarus","Man",100,1,"BY"
"petr","piotr baško","Belarus","Man",100,34,"BY"
"philip","pilip vaitsiakhovich","Belarus","Man",100,1,"BY"
"pimen","pimien pančanka","Belarus","Man",100,1,"BY"
"pimyen","pimyen kalyesnikaw","Belarus","Man",100,1,"BY"
"piotr","pyotr petrinich","Belarus","Man",100,3,"BY"
"polina","polina smolova","Belarus","Woman",100,5,"BY"
"radik","radik kulijev","Belarus","Man",100,1,"BY"
"radzim","radzim harecki","Belarus","Man",100,1,"BY"
"radzislaw","radzislaw arlowski","Belarus","Man",100,1,"BY"
"rahnieda","ragneda anatol'eŭna alâhnovìč","Belarus","Woman",100,2,"BY"
"raisa","raisa cichanska","Belarus","Woman",100,4,"BY"
"raman","roman hovavko","Belarus","Man",100,23,"BY"
"ramazan","ramazan magomedov","Belarus","Man",100,1,"BY"
"rascislau","rascislaŭ šmyroŭ","Belarus","Man",100,3,"BY"
"rebecca","rebeca esterkina","Belarus","Woman",100,1,"BY"
"regina","regina glugovskaya","Belarus","Woman",100,2,"BY"
"renald","renald knysh","Belarus","Man",100,1,"BY"
"renan","renan bressan","Belarus","Man",100,1,"BY"
"richard","richard smolsky","Belarus","Man",100,1,"BY"
"roman","roman harkusha","Belarus","Man",100,20,"BY"
"romuald","romuald klim","Belarus","Man",100,1,"BY"
"rosa","rosa goncharova","Belarus","Woman",100,1,"BY"
"rostislav","rastsislau stefanovich","Belarus","Man",100,2,"BY"
"rostyslav","rostislaw wygranienko","Belarus","Man",100,2,"BY"
"rufina","rufina bazlova","Belarus","Woman",100,1,"BY"
"ruslan","ruslan sheikhau","Belarus","Man",100,14,"BY"
"rustam","rustam valiullin","Belarus","Man",100,1,"BY"
"ryhor","ryhor chajucin","Belarus","Man",100,10,"BY"
"salina","zalina sidakova","Belarus","Woman",100,1,"BY"
"sally","sally tal","Belarus","Woman",100,1,"BY"
"salomon","salomon bernstein","Belarus","Man",100,1,"BY"
"sam","sam baskini","Belarus","Man",100,1,"BY"
"samuel","samuel gezalian","Belarus","Man",100,5,"BY"
"sara","sarah kafrit","Belarus","Woman",100,1,"BY"
"sarah","sarah kafrit","Belarus","Woman",100,1,"BY"
"sasha","sasha filipenko","Belarus","Man",100,1,"BY"
"sciapan","stsyapan zhukaw","Belarus","Man",100,7,"BY"
"semyon","semyon sholkovich","Belarus","Man",100,1,"BY"
"serge","serge creator","Belarus","Man",100,1,"BY"
"sergey","siarheï koukouchkine","Belarus","Man",100,201,"BY"
"sergiusz","sergiusz gajek","Belarus","Man",100,1,"BY"
"shepard","shepard broad","Belarus","Man",100,1,"BY"
"siergiej","sergey krivets","Belarus","Man",100,7,"BY"
"simon","simon gollnack","Belarus","Man",100,1,"BY"
"slavamir","slavamir adamovich","Belarus","Man",100,1,"BY"
"sniazhana","sniazhana tsishkevich","Belarus","Woman",100,2,"BY"
"sofia","sofia prischepova","Belarus","Woman",100,12,"BY"
"solomon","solomon gorelik","Belarus","Man",100,3,"BY"
"sophie","sofia fedorovna prorvich","Belarus","Woman",100,1,"BY"
"soslan","soslan gattsiev","Belarus","Man",100,1,"BY"
"spartak","spartak harutyunyan","Belarus","Man",100,1,"BY"
"stanislau","stanislau bazhkou","Belarus","Man",100,20,"BY"
"stanislav","stanislav gomozkov","Belarus","Man",100,4,"BY"
"stanislava","stanislava umiec","Belarus","Woman",100,1,"BY"
"stefan","stephan","Belarus","Man",100,1,"BY"
"stefania","stefania gavronik","Belarus","Woman",100,2,"BY"
"stepan","stepan danilov","Belarus","Man",100,5,"BY"
